model,subgroup_feature,subgroup_value,rows,positive_rate,precision,recall,f1,pr_auc,brier_score,ece
random_forest,project_key,UPM,750,0.23333333333333334,0.5802469135802469,0.26857142857142857,0.3671875,0.4723196994345431,0.15517036495086317,0.04542654230046391
random_forest,issuetype,Bug,889,0.24971878515185603,0.5225225225225225,0.26126126126126126,0.3483483483483483,0.4728773122801446,0.16758419627042462,0.04404641430415016
random_forest,issuetype,Improvement,340,0.37058823529411766,0.5789473684210527,0.3492063492063492,0.43564356435643564,0.5806314577815315,0.2033835503513603,0.06527960384370358
random_forest,issuetype,New Feature,77,0.3246753246753247,0.5294117647058824,0.36,0.42857142857142855,0.5598717223890244,0.20349751655993756,0.08048084783558063
random_forest,issuetype,Story,69,0.3188405797101449,0.625,0.45454545454545453,0.5263157894736842,0.6171709311231512,0.1728305713957193,0.06224531666116776
random_forest,issuetype,Sub-task,173,0.05202312138728324,0.4,0.2222222222222222,0.2857142857142857,0.17662323018508758,0.058487654805280585,0.05657029321247739
random_forest,issuetype,Task,309,0.18770226537216828,0.5,0.1724137931034483,0.2564102564102564,0.4007450597440037,0.14312071558939066,0.07310561317749656
random_forest,priority,Blocker,48,0.125,0.0,0.0,0.0,0.68013468013468,0.08930596288703078,0.07973830424037229
random_forest,priority,Critical,148,0.1554054054054054,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.5545797345117814,0.10498900856538129,0.06848105401973256
random_forest,priority,Major,1387,0.23215573179524152,0.55,0.2732919254658385,0.3651452282157676,0.47072691501261416,0.15756330799199245,0.04625322951263371
random_forest,priority,Minor,251,0.41434262948207173,0.5194805194805194,0.38461538461538464,0.4419889502762431,0.5657937439718694,0.23014486067617912,0.11445435724578569
random_forest,priority,Trivial,41,0.34146341463414637,0.75,0.21428571428571427,0.3333333333333333,0.6095053649479115,0.18072256097560976,0.15963414634146345
