row_index,worlds,mean_probability,std_probability,min_probability,max_probability,probability_range,baseline_probability
2725,20,0.195,0.0,0.195,0.195,0.0,0.195
2726,20,0.08,0.0,0.08,0.08,0.0,0.08
2728,20,0.02,0.0,0.02,0.02,0.0,0.02
2730,20,0.045,0.0,0.045,0.045,0.0,0.045
2736,20,0.27,0.0,0.27,0.27,0.0,0.27
2739,20,0.24,0.0,0.24,0.24,0.0,0.24
2743,20,0.45,0.0,0.45,0.45,0.0,0.45
2749,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
2752,20,0.015,0.0,0.015,0.015,0.0,0.015
2792,20,0.51,0.0,0.51,0.51,0.0,0.51
2796,20,0.13,0.0,0.13,0.13,0.0,0.13
2798,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
2806,20,0.02,0.0,0.02,0.02,0.0,0.02
2817,20,0.43,0.0,0.43,0.43,0.0,0.43
2819,20,0.01,0.0,0.01,0.01,0.0,0.01
2840,20,0.1,0.0,0.1,0.1,0.0,0.1
2864,20,0.2,0.0,0.2,0.2,0.0,0.2
2882,20,0.05,0.0,0.05,0.05,0.0,0.05
2886,20,0.0,0.0,0.0,0.0,0.0,0.0
2898,20,0.02,0.0,0.02,0.02,0.0,0.02
2905,20,0.065,0.0,0.065,0.065,0.0,0.065
2907,20,0.4149999999999999,0.0,0.415,0.415,0.0,0.415
2927,20,0.07,0.0,0.07,0.07,0.0,0.07
2931,20,0.02,0.0,0.02,0.02,0.0,0.02
2957,20,0.15,0.0,0.15,0.15,0.0,0.15
2959,20,0.16,0.0,0.16,0.16,0.0,0.16
2967,20,0.005,0.0,0.005,0.005,0.0,0.005
2968,20,0.045,0.0,0.045,0.045,0.0,0.045
2971,20,0.08,0.0,0.08,0.08,0.0,0.08
2982,20,0.06,0.0,0.06,0.06,0.0,0.06
3009,20,0.53,0.0,0.53,0.53,0.0,0.53
3035,20,0.07,0.0,0.07,0.07,0.0,0.07
3036,20,0.19,0.0,0.19,0.19,0.0,0.19
3052,20,0.26,0.0,0.26,0.26,0.0,0.26
3071,20,0.155,0.0,0.155,0.155,0.0,0.155
3095,20,0.075,0.0,0.075,0.075,0.0,0.075
3105,20,0.155,0.0,0.155,0.155,0.0,0.155
3115,20,0.205,0.0,0.205,0.205,0.0,0.205
3125,20,0.07,0.0,0.07,0.07,0.0,0.07
3137,20,0.1,0.0,0.1,0.1,0.0,0.1
3147,20,0.135,0.0,0.135,0.135,0.0,0.135
3167,20,0.12,0.0,0.12,0.12,0.0,0.12
3171,20,0.515,0.0,0.515,0.515,0.0,0.515
3183,20,0.01,0.0,0.01,0.01,0.0,0.01
3187,20,0.13,0.0,0.13,0.13,0.0,0.13
3201,20,0.1,0.0,0.1,0.1,0.0,0.1
3214,20,0.325,0.0,0.325,0.325,0.0,0.325
3224,20,0.075,0.0,0.075,0.075,0.0,0.075
3229,20,0.06,0.0,0.06,0.06,0.0,0.06
3239,20,0.065,0.0,0.065,0.065,0.0,0.065
3246,20,0.035,0.0,0.035,0.035,0.0,0.035
3248,20,0.135,0.0,0.135,0.135,0.0,0.135
3252,20,0.05,0.0,0.05,0.05,0.0,0.05
3255,20,0.285,0.0,0.285,0.285,0.0,0.285
3289,20,0.495,0.0,0.495,0.495,0.0,0.495
3296,20,0.12,0.0,0.12,0.12,0.0,0.12
3298,20,0.275,0.0,0.275,0.275,0.0,0.275
3307,20,0.015,0.0,0.015,0.015,0.0,0.015
3312,20,0.06,0.0,0.06,0.06,0.0,0.06
3318,20,0.0,0.0,0.0,0.0,0.0,0.0
3351,20,0.22000000000000003,0.0,0.22,0.22,0.0,0.22
3355,20,0.175,0.0,0.175,0.175,0.0,0.175
3361,20,0.08,0.0,0.08,0.08,0.0,0.08
3379,20,0.012993175517167837,0.0,0.012993175517167839,0.012993175517167839,0.0,0.012993175517167839
3384,20,0.42183505913329816,0.0,0.42183505913329816,0.42183505913329816,0.0,0.42183505913329816
3415,20,0.06,0.0,0.06,0.06,0.0,0.06
3416,20,0.135,0.0,0.135,0.135,0.0,0.135
3429,20,0.34,0.0,0.34,0.34,0.0,0.34
3434,20,0.0,0.0,0.0,0.0,0.0,0.0
3439,20,0.015,0.0,0.015,0.015,0.0,0.015
3473,20,0.005,0.0,0.005,0.005,0.0,0.005
3476,20,0.01,0.0,0.01,0.01,0.0,0.01
3478,20,0.255,0.0,0.255,0.255,0.0,0.255
3480,20,0.01,0.0,0.01,0.01,0.0,0.01
3496,20,0.035,0.0,0.035,0.035,0.0,0.035
3499,20,0.365,0.0,0.365,0.365,0.0,0.365
3504,20,0.01,0.0,0.01,0.01,0.0,0.01
3509,20,0.125,0.0,0.125,0.125,0.0,0.125
3529,20,0.01,0.0,0.01,0.01,0.0,0.01
3541,20,0.005,0.0,0.005,0.005,0.0,0.005
3567,20,0.02,0.0,0.02,0.02,0.0,0.02
3582,20,0.215,0.0,0.215,0.215,0.0,0.215
3588,20,0.03,0.0,0.03,0.03,0.0,0.03
3596,20,0.0,0.0,0.0,0.0,0.0,0.0
3599,20,0.065,0.0,0.065,0.065,0.0,0.065
3600,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
3612,20,0.37,0.0,0.37,0.37,0.0,0.37
3618,20,0.18,0.0,0.18,0.18,0.0,0.18
3619,20,0.005,0.0,0.005,0.005,0.0,0.005
3621,20,0.065,0.0,0.065,0.065,0.0,0.065
3622,20,0.23499999999999996,0.0,0.235,0.235,0.0,0.235
3632,20,0.05,0.0,0.05,0.05,0.0,0.05
3633,20,0.035,0.0,0.035,0.035,0.0,0.035
3635,20,0.18,0.0,0.18,0.18,0.0,0.18
3636,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
3651,20,0.15,0.0,0.15,0.15,0.0,0.15
3655,20,0.135,0.0,0.135,0.135,0.0,0.135
3667,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
3673,20,0.045,0.0,0.045,0.045,0.0,0.045
3678,20,0.04,0.0,0.04,0.04,0.0,0.04
3699,20,0.03,0.0,0.03,0.03,0.0,0.03
