rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,brier_score,ece,scenario,group_feature,group_value
84,0.39285714285714285,0.6071428571428571,0.6274509803921569,0.9696969696969697,0.7619047619047619,0.37254901960784315,0.030303030303030304,0.7562142868791282,0.8781937017231135,0.15016100243834693,0.10650319164178397,sample_bias_underrepresent_minority,project_key,PLVS
92,0.21739130434782608,0.5869565217391305,0.25925925925925924,0.7,0.3783783783783784,0.5555555555555556,0.3,0.2735860531668611,0.5743055555555556,0.17726910555830344,0.0773339322202338,sample_bias_underrepresent_minority,project_key,REFAPP
82,0.2682926829268293,0.7560975609756098,0.3225806451612903,0.9090909090909091,0.47619047619047616,0.7,0.09090909090909091,0.3733435332618559,0.6833333333333333,0.18428769325556174,0.09001515392058287,sample_bias_underrepresent_minority,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6413926770965888,0.6860795454545454,0.21882660053637004,0.07266641587116192,sample_bias_underrepresent_minority,project_key,SAL
25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6700392887699389,0.6346153846153846,0.21984063787927752,0.23433717578971924,sample_bias_underrepresent_minority,project_key,SCANNER
57,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6855589883383814,0.7263427109974425,0.2112104783531282,0.11032012659256737,sample_bias_underrepresent_minority,project_key,SELENIUM
24,0.16666666666666666,0.625,0.2,0.75,0.3157894736842105,0.6,0.25,0.3451923076923077,0.675,0.14806072264230738,0.1268997061114322,sample_bias_underrepresent_minority,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16025641025641024,0.6521739130434783,0.07894861220504613,0.05821072230388716,sample_bias_underrepresent_minority,project_key,SPEAKEASY
120,0.18333333333333332,0.23333333333333334,0.4642857142857143,0.5909090909090909,0.52,0.15306122448979592,0.4090909090909091,0.600609669387638,0.8140074211502784,0.11847234143702888,0.10157262589290975,sample_bias_underrepresent_minority,project_key,SPFE
455,0.23736263736263735,0.3626373626373626,0.3696969696969697,0.5648148148148148,0.4468864468864469,0.29971181556195964,0.4351851851851852,0.45828260760345063,0.7267451168747998,0.1600343628575631,0.03552083760970337,sample_bias_underrepresent_minority,project_key,STRM
