model,group_feature,metric,groups_considered,min_value,max_value,absolute_gap,min_max_ratio,worst_group,best_group
extra_trees,project_key,precision,9,0.2413793103448276,0.6521739130434783,0.41079460269865065,0.37011494252873567,REFAPP,PLVS
extra_trees,project_key,recall,9,0.5,1.0,0.5,0.5,SPFE,SAL
extra_trees,project_key,f1,9,0.358974358974359,0.759493670886076,0.400519311911717,0.47264957264957264,REFAPP,PLVS
extra_trees,project_key,fpr,9,0.12244897959183673,1.0,0.8775510204081632,0.12244897959183673,SPFE,SELENIUM
extra_trees,project_key,fnr,9,0.0,0.5,0.5,0.0,SAL,SPFE
extra_trees,project_key,positive_rate_predicted,9,0.19166666666666668,1.0,0.8083333333333333,0.19166666666666668,SPFE,SELENIUM
extra_trees,project_key,brier_score,9,0.12439842709124727,0.2320400230712679,0.10764159598002063,0.5361076311091385,SPFE,SELENIUM
extra_trees,project_key,ece,9,0.014018000077511653,0.18039433794172524,0.16637633786421357,0.07770753914704374,STRM,SVN
extra_trees,project_key,roc_auc,9,0.5618055555555556,0.8740344622697565,0.3122289067142009,0.6427727736233854,REFAPP,PLVS
extra_trees,project_key,pr_auc,9,0.29600465339217963,0.8030303030303031,0.5070256496381235,0.36860956837516706,REFAPP,SVN
extra_trees,status,precision,2,0.3918918918918919,0.4109195402298851,0.019027648337993197,0.9536949536949536,Resolved,Closed
extra_trees,status,recall,2,0.6651162790697674,0.7631578947368421,0.0980416156670747,0.8715316760224538,Closed,Resolved
extra_trees,status,f1,2,0.5079928952042628,0.5178571428571429,0.009864247652880076,0.9809517976358177,Closed,Resolved
extra_trees,status,fpr,2,0.32436708860759494,0.38461538461538464,0.06024829600778969,0.8433544303797468,Closed,Resolved
extra_trees,status,fnr,2,0.23684210526315788,0.33488372093023255,0.09804161566707467,0.7072368421052632,Resolved,Closed
extra_trees,status,positive_rate_predicted,2,0.41086186540731995,0.4774193548387097,0.06655748943138973,0.8605890424072242,Closed,Resolved
extra_trees,status,brier_score,2,0.15704100382643665,0.16442708419537366,0.007386080368937009,0.9550799042318308,Resolved,Closed
extra_trees,status,ece,2,0.021031768136347575,0.05550593332407824,0.034474165187730665,0.37891026916980214,Closed,Resolved
extra_trees,status,roc_auc,2,0.7357328157197527,0.7582096266306793,0.02247681091092657,0.9703554134351885,Closed,Resolved
extra_trees,status,pr_auc,2,0.48386530797496474,0.4906173736089427,0.006752065633977955,0.9862376140813964,Closed,Resolved
hist_gradient_boosting,created_month,precision,12,0.296875,0.5679012345679012,0.2710262345679012,0.5227581521739131,2,7
hist_gradient_boosting,created_month,recall,12,0.5,0.8529411764705882,0.3529411764705882,0.5862068965517242,2,10
hist_gradient_boosting,created_month,f1,12,0.37254901960784315,0.6301369863013698,0.2575879666935267,0.5912190963341859,2,7
hist_gradient_boosting,created_month,fpr,12,0.1891891891891892,0.42696629213483145,0.23777710294564225,0.4431009957325747,3,10
hist_gradient_boosting,created_month,fnr,12,0.14705882352941177,0.5,0.3529411764705882,0.29411764705882354,10,2
hist_gradient_boosting,created_month,positive_rate_predicted,12,0.26519337016574585,0.5447154471544715,0.27952207698872567,0.48684753030427974,3,10
hist_gradient_boosting,created_month,brier_score,12,0.12373491705414195,0.20257257847840154,0.07883766142425959,0.6108177028873366,3,7
hist_gradient_boosting,created_month,ece,12,0.03966153780306146,0.11770622511756211,0.07804468731450065,0.33695361280551206,5,2
hist_gradient_boosting,created_month,roc_auc,12,0.6571637426900585,0.8341044282881692,0.17694068559811071,0.7878674664738974,2,10
hist_gradient_boosting,created_month,pr_auc,12,0.37976428617481917,0.6715446173053625,0.29178033113054336,0.5655086443826473,2,10
hist_gradient_boosting,created_year,precision,11,0.2727272727272727,0.5681818181818182,0.2954545454545455,0.4799999999999999,2021,2009
hist_gradient_boosting,created_year,recall,11,0.3333333333333333,0.9230769230769231,0.5897435897435899,0.36111111111111105,2021,2008
hist_gradient_boosting,created_year,f1,11,0.3,0.6944444444444444,0.39444444444444443,0.432,2021,2009
hist_gradient_boosting,created_year,fpr,11,0.1,0.6818181818181818,0.5818181818181818,0.1466666666666667,2021,2020
hist_gradient_boosting,created_year,fnr,11,0.07692307692307693,0.6666666666666666,0.5897435897435896,0.11538461538461539,2008,2021
hist_gradient_boosting,created_year,positive_rate_predicted,11,0.12359550561797752,0.7272727272727273,0.6036772216547498,0.1699438202247191,2021,2020
hist_gradient_boosting,created_year,brier_score,11,0.08516598348969713,0.22065040373214947,0.13548442024245233,0.3859770118212939,2021,2020
hist_gradient_boosting,created_year,ece,11,0.03245833637602805,0.24821835041135543,0.21576001403532738,0.1307652569692654,2010,2020
hist_gradient_boosting,created_year,roc_auc,11,0.5950413223140496,0.8602216748768472,0.2651803525627976,0.6917302129119661,2020,2009
hist_gradient_boosting,created_year,pr_auc,11,0.31809653672398774,0.7561215380827474,0.43802500135875966,0.42069498182867043,2021,2009
hist_gradient_boosting,has_description,precision,2,0.32926829268292684,0.441400304414003,0.11213201173107618,0.7459629941126998,0,1
hist_gradient_boosting,has_description,recall,2,0.375,0.7304785894206549,0.3554785894206549,0.5133620689655173,0,1
hist_gradient_boosting,has_description,f1,2,0.35064935064935066,0.5502846299810247,0.19963527933167402,0.6372145096283027,0,1
hist_gradient_boosting,has_description,fpr,2,0.13095238095238096,0.372210953346856,0.24125857239447504,0.3518230180355521,0,1
hist_gradient_boosting,has_description,fnr,2,0.2695214105793451,0.625,0.3554785894206549,0.43123425692695216,1,0
hist_gradient_boosting,has_description,positive_rate_predicted,2,0.16666666666666666,0.4750542299349241,0.30838756326825745,0.3508371385083714,0,1
hist_gradient_boosting,has_description,brier_score,2,0.1110737449185295,0.1736959900222656,0.0626222451037361,0.6394721311890463,0,1
hist_gradient_boosting,has_description,ece,2,0.03726921789284293,0.04156821601609689,0.004298998123253961,0.896579681899526,1,0
hist_gradient_boosting,has_description,roc_auc,2,0.7302579365079365,0.7454463241042095,0.015188387596273056,0.9796251090049647,0,1
hist_gradient_boosting,has_description,pr_auc,2,0.38787914889696856,0.5381574530548907,0.15027830415792215,0.7207540222571365,0,1
hist_gradient_boosting,issuetype,precision,6,0.0,0.5357142857142857,0.5357142857142857,0.0,Sub-task,Story
hist_gradient_boosting,issuetype,recall,6,0.0,0.92,0.92,0.0,Sub-task,New Feature
hist_gradient_boosting,issuetype,f1,6,0.0,0.6128133704735376,0.6128133704735376,0.0,Sub-task,Improvement
hist_gradient_boosting,issuetype,fpr,6,0.018292682926829267,0.5747663551401869,0.5564736722133576,0.031826293872694825,Sub-task,Improvement
hist_gradient_boosting,issuetype,fnr,6,0.08,1.0,0.92,0.08,New Feature,Sub-task
hist_gradient_boosting,issuetype,positive_rate_predicted,6,0.017341040462427744,0.6852941176470588,0.667953077184631,0.025304522563199282,Sub-task,Improvement
hist_gradient_boosting,issuetype,brier_score,6,0.051494492532133694,0.2010893219965538,0.1495948294644201,0.2560777072639202,Sub-task,New Feature
hist_gradient_boosting,issuetype,ece,6,0.03832756074709988,0.12438585046778049,0.08605828972068061,0.30813441081088094,Sub-task,Story
