model,subgroup_feature,subgroup_value,rows,positive_rate_subgroup,positive_rate_overall,positive_rate_gap,positive_rate_abs_gap,precision_subgroup,precision_overall,precision_gap,precision_abs_gap,recall_subgroup,recall_overall,recall_gap,recall_abs_gap,f1_subgroup,f1_overall,f1_gap,f1_abs_gap,pr_auc_subgroup,pr_auc_overall,pr_auc_gap,pr_auc_abs_gap,brier_score_subgroup,brier_score_overall,brier_score_gap,brier_score_abs_gap,ece_subgroup,ece_overall,ece_gap,ece_abs_gap
logistic_regression,issuetype,New Feature,77,0.3246753246753247,0.2501333333333333,0.07454199134199135,0.07454199134199135,0.3571428571428571,0.3944374209860936,-0.03729456384323648,0.03729456384323648,0.8,0.6652452025586354,0.13475479744136465,0.13475479744136465,0.4938271604938271,0.4952380952380952,-0.001410934744268122,0.001410934744268122,0.384354472859681,0.4109374466717152,-0.026582973812034227,0.026582973812034227,0.2972791609252037,0.2191371338795311,0.07814202704567258,0.07814202704567258,0.2746186671627959,0.2147322778381482,0.05988638932464774,0.05988638932464774
logistic_regression,issuetype,Story,69,0.3188405797101449,0.2501333333333333,0.06870724637681158,0.06870724637681158,0.391304347826087,0.3944374209860936,-0.0031330731600066053,0.0031330731600066053,0.8181818181818182,0.6652452025586354,0.15293661562318284,0.15293661562318284,0.5294117647058824,0.4952380952380952,0.03417366946778716,0.03417366946778716,0.5504635691462799,0.4109374466717152,0.1395261224745647,0.1395261224745647,0.2661301034602376,0.2191371338795311,0.04699296958070648,0.04699296958070648,0.2690077017058971,0.2147322778381482,0.05427542386774892,0.05427542386774892
logistic_regression,issuetype,Sub-task,173,0.0520231213872832,0.2501333333333333,-0.1981102119460501,0.1981102119460501,0.0,0.3944374209860936,-0.3944374209860936,0.3944374209860936,0.0,0.6652452025586354,-0.6652452025586354,0.6652452025586354,0.0,0.4952380952380952,-0.4952380952380952,0.4952380952380952,0.0687185601075618,0.4109374466717152,-0.34221888656415345,0.34221888656415345,0.0870227655987772,0.2191371338795311,-0.1321143682807539,0.1321143682807539,0.1766555873169803,0.2147322778381482,-0.03807669052116788,0.03807669052116788
logistic_regression,issuetype,Task,309,0.1877022653721682,0.2501333333333333,-0.062431067961165126,0.062431067961165126,0.3,0.3944374209860936,-0.09443742098609359,0.09443742098609359,0.3620689655172414,0.6652452025586354,-0.303176237041394,0.303176237041394,0.328125,0.4952380952380952,-0.1671130952380952,0.1671130952380952,0.2584948776984295,0.4109374466717152,-0.15244256897328573,0.15244256897328573,0.1974610935447795,0.2191371338795311,-0.021676040334751595,0.021676040334751595,0.2088008147439482,0.2147322778381482,-0.005931463094199979,0.005931463094199979
logistic_regression,priority,Blocker,48,0.125,0.2501333333333333,-0.12513333333333332,0.12513333333333332,0.0,0.3944374209860936,-0.3944374209860936,0.3944374209860936,0.0,0.6652452025586354,-0.6652452025586354,0.6652452025586354,0.0,0.4952380952380952,-0.4952380952380952,0.4952380952380952,0.5257936507936507,0.4109374466717152,0.11485620412193548,0.11485620412193548,0.093904214275909,0.2191371338795311,-0.1252329196036221,0.1252329196036221,0.1447166128375404,0.2147322778381482,-0.0700156650006078,0.0700156650006078
logistic_regression,priority,Critical,148,0.1554054054054054,0.2501333333333333,-0.09472792792792792,0.09472792792792792,0.4285714285714285,0.3944374209860936,0.03413400758533491,0.03413400758533491,0.2608695652173913,0.6652452025586354,-0.4043756373412441,0.4043756373412441,0.3243243243243243,0.4952380952380952,-0.1709137709137709,0.1709137709137709,0.3164206108948763,0.4109374466717152,-0.09451683577683895,0.09451683577683895,0.1546781682073577,0.2191371338795311,-0.06445896567217341,0.06445896567217341,0.1629085144052265,0.2147322778381482,-0.05182376343292169,0.05182376343292169
logistic_regression,priority,Major,1387,0.2321557317952415,0.2501333333333333,-0.01797760153809183,0.01797760153809183,0.3649906890130354,0.3944374209860936,-0.029446731973058193,0.029446731973058193,0.6086956521739131,0.6652452025586354,-0.056549550384722314,0.056549550384722314,0.4563445867287544,0.4952380952380952,-0.03889350850934081,0.03889350850934081,0.3843094789281714,0.4109374466717152,-0.026627967743543812,0.026627967743543812,0.217585785503184,0.2191371338795311,-0.0015513483763471003,0.0015513483763471003,0.2222049698494033,0.2147322778381482,0.007472692011255111,0.007472692011255111
logistic_regression,priority,Minor,251,0.4143426294820717,0.2501333333333333,0.16420929614873836,0.16420929614873836,0.4511627906976744,0.3944374209860936,0.05672536971158082,0.05672536971158082,0.9326923076923076,0.6652452025586354,0.2674471051336722,0.2674471051336722,0.6081504702194357,0.4952380952380952,0.11291237498134049,0.11291237498134049,0.5025330978005368,0.4109374466717152,0.09159565112882156,0.09159565112882156,0.2840151858478117,0.2191371338795311,0.06487805196828061,0.06487805196828061,0.2268767404840827,0.2147322778381482,0.012144462645934523,0.012144462645934523
logistic_regression,priority,Trivial,41,0.3414634146341463,0.2501333333333333,0.09133008130081299,0.09133008130081299,0.52,0.3944374209860936,0.12556257901390644,0.12556257901390644,0.9285714285714286,0.6652452025586354,0.2633262260127932,0.2633262260127932,0.6666666666666666,0.4952380952380952,0.17142857142857143,0.17142857142857143,0.5079112945018518,0.4109374466717152,0.09697384783013657,0.09697384783013657,0.2537331391090529,0.2191371338795311,0.034596005229521776,0.034596005229521776,0.2422351703287231,0.2147322778381482,0.027502892490574915,0.027502892490574915
random_forest,project_key,PLVS,84,0.3928571428571428,0.2501333333333333,0.14272380952380948,0.14272380952380948,0.6428571428571429,0.5483870967741935,0.0944700460829494,0.0944700460829494,0.5454545454545454,0.2899786780383795,0.2554758674161659,0.2554758674161659,0.5901639344262295,0.3793584379358438,0.2108054964903857,0.2108054964903857,0.6943661661466831,0.4943331886075637,0.20003297753911942,0.20003297753911942,0.1873247515185211,0.1618887214404631,0.025436030078058003,0.025436030078058003,0.0785580079393428,0.0363211978613389,0.042236810078003895,0.042236810078003895
