rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
86,0.32558139534883723,0.38372093023255816,20,45,13,8,0.6060606060606061,0.7142857142857143,0.6557377049180327,0.7758620689655172,0.22413793103448276,0.2857142857142857,0.6149886726274334,0.7875615763546797,0.19152550161052276,0.09884243020367894,logistic_regression,0.25,created_year,2009
381,0.16010498687664043,0.37270341207349084,39,217,103,22,0.2746478873239437,0.639344262295082,0.3842364532019704,0.678125,0.321875,0.36065573770491804,0.32895850998510534,0.6942622950819672,0.12870234212956141,0.06388744743701748,logistic_regression,0.25,created_year,2010
485,0.20618556701030927,0.334020618556701,61,284,101,39,0.3765432098765432,0.61,0.46564885496183206,0.7376623376623377,0.2623376623376623,0.39,0.40736016273960285,0.7175974025974026,0.14974464612724223,0.0379792394071957,logistic_regression,0.25,created_year,2011
305,0.3344262295081967,0.34098360655737703,62,161,42,40,0.5961538461538461,0.6078431372549019,0.6019417475728155,0.7931034482758621,0.20689655172413793,0.39215686274509803,0.5734042640233505,0.7468366657007631,0.20526189740608866,0.11813505238211744,logistic_regression,0.25,created_year,2012
146,0.3219178082191781,0.547945205479452,38,57,42,9,0.475,0.8085106382978723,0.5984251968503937,0.5757575757575758,0.42424242424242425,0.19148936170212766,0.5727573902241091,0.7625188050719965,0.18300130338565318,0.058225894113408186,logistic_regression,0.25,created_year,2013
88,0.3409090909090909,0.6818181818181818,25,23,35,5,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.39655172413793105,0.603448275862069,0.16666666666666666,0.5529221923308132,0.6942528735632184,0.20004182276534888,0.1144274116529132,logistic_regression,0.25,created_year,2014
87,0.25287356321839083,0.6436781609195402,18,27,38,4,0.32142857142857145,0.8181818181818182,0.46153846153846156,0.4153846153846154,0.5846153846153846,0.18181818181818182,0.37189227451025864,0.6083916083916083,0.20844986877458532,0.13426979042206144,logistic_regression,0.25,created_year,2015
59,0.23728813559322035,0.6610169491525424,12,18,27,2,0.3076923076923077,0.8571428571428571,0.4528301886792453,0.4,0.6,0.14285714285714285,0.5555270589781974,0.7317460317460317,0.1574350769436318,0.09514562615340424,logistic_regression,0.25,created_year,2016
13,0.3076923076923077,0.46153846153846156,2,5,4,2,0.3333333333333333,0.5,0.4,0.5555555555555556,0.4444444444444444,0.5,0.40208333333333335,0.5555555555555556,0.23790823751433404,0.2563944442956827,logistic_regression,0.25,created_year,2017
16,0.625,0.8125,9,2,4,1,0.6923076923076923,0.9,0.782608695652174,0.3333333333333333,0.6666666666666666,0.1,0.8237545787545788,0.6833333333333333,0.24962168919808306,0.28296314006592277,logistic_regression,0.25,created_year,2018
17,0.47058823529411764,0.7647058823529411,5,1,8,3,0.38461538461538464,0.625,0.47619047619047616,0.1111111111111111,0.8888888888888888,0.375,0.48778952869026393,0.4166666666666667,0.31465092881489237,0.23135618048669643,logistic_regression,0.25,created_year,2019
33,0.3333333333333333,0.2727272727272727,4,17,5,7,0.4444444444444444,0.36363636363636365,0.4,0.7727272727272727,0.22727272727272727,0.6363636363636364,0.4553194280467008,0.6487603305785123,0.2378726419955137,0.21358694991437993,logistic_regression,0.25,created_year,2020
89,0.10112359550561797,0.2247191011235955,2,62,18,7,0.1,0.2222222222222222,0.13793103448275862,0.775,0.225,0.7777777777777778,0.11728817811334151,0.4583333333333333,0.10632589816406848,0.08379469675758115,logistic_regression,0.25,created_year,2021
165,0.2545454545454545,0.4,28,85,38,14,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6910569105691057,0.3089430894308943,0.3333333333333333,0.44335747498617795,0.7228029423151374,0.1719588118822868,0.06884946233337044,logistic_regression,0.25,created_month,1
123,0.2764227642276423,0.4796747967479675,25,55,34,9,0.423728813559322,0.7352941176470589,0.5376344086021505,0.6179775280898876,0.38202247191011235,0.2647058823529412,0.49314447366379344,0.693654990085922,0.181096234953514,0.07872220098307328,logistic_regression,0.25,created_month,10
147,0.2925170068027211,0.4557823129251701,32,69,35,11,0.47761194029850745,0.7441860465116279,0.5818181818181818,0.6634615384615384,0.33653846153846156,0.2558139534883721,0.5776896619112784,0.7473166368515205,0.17533690275813016,0.05656218624526454,logistic_regression,0.25,created_month,11
128,0.25,0.453125,21,59,37,11,0.3620689655172414,0.65625,0.4666666666666667,0.6145833333333334,0.3854166666666667,0.34375,0.465484409003347,0.7145182291666666,0.16557535774102317,0.037177733848596586,logistic_regression,0.25,created_month,12
164,0.23170731707317074,0.35365853658536583,16,84,42,22,0.27586206896551724,0.42105263157894735,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5789473684210527,0.30806150033337376,0.6105889724310777,0.1864520063650442,0.08906851120456874,logistic_regression,0.25,created_month,2
181,0.18232044198895028,0.30939226519337015,19,111,37,14,0.3392857142857143,0.5757575757575758,0.42696629213483145,0.75,0.25,0.42424242424242425,0.3949986168748933,0.7158067158067158,0.13852797281469606,0.09265053369935342,logistic_regression,0.25,created_month,3
