scope,group_feature,group_value,metric,rows,mean,median,p75,p90
group,status,Resolved,risk_time_proxy,729,0.23045267489711935,0.0,0.0,1.0
group,status,Resolved,risk_effort_proxy_raw,729,894.6654820209222,248.7227750925926,742.7511342939815,1539.3329884791667
group,status,Resolved,risk_scope_proxy_raw,729,0.0,0.0,0.0,0.0
group,status,Short Term Backlog,risk_time_proxy,22,,,,
group,status,Short Term Backlog,risk_effort_proxy_raw,22,1227.4545454545455,479.0,862.5,2042.7000000000019
group,status,Short Term Backlog,risk_scope_proxy_raw,22,0.0,0.0,0.0,0.0
group,status,To Do,risk_time_proxy,30,,,,
group,status,To Do,risk_effort_proxy_raw,30,2322.733333333333,395.0,1070.75,3809.3000000000084
group,status,To Do,risk_scope_proxy_raw,30,0.0,0.0,0.0,0.0
group,status,Under Triage,risk_time_proxy,22,,,,
group,status,Under Triage,risk_effort_proxy_raw,22,640.4090909090909,425.0,642.25,1069.8000000000006
group,status,Under Triage,risk_scope_proxy_raw,22,0.0,0.0,0.0,0.0
group,status,Waiting for Release,risk_time_proxy,31,,,,
group,status,Waiting for Release,risk_effort_proxy_raw,31,295.35483870967744,0.0,198.5,646.0
group,status,Waiting for Release,risk_scope_proxy_raw,31,0.0,0.0,0.0,0.0
group,created_year,2005,risk_time_proxy,39,0.5,0.5,1.0,1.0
group,created_year,2005,risk_effort_proxy_raw,39,2098.0036607941593,851.4316292361111,1777.109399681713,5608.571593189818
group,created_year,2005,risk_scope_proxy_raw,39,0.0,0.0,0.0,0.0
group,created_year,2006,risk_time_proxy,39,0.4827586206896552,0.0,1.0,1.0
group,created_year,2006,risk_effort_proxy_raw,39,1327.9650928234805,742.7511342939815,1476.2320496122686,3847.953418833334
group,created_year,2006,risk_scope_proxy_raw,39,0.0,0.0,0.0,0.0
group,created_year,2007,risk_time_proxy,53,0.20930232558139536,0.0,0.0,1.0
group,created_year,2007,risk_effort_proxy_raw,53,1091.3598009331324,628.9442343055555,1455.2959514583333,3288.7489809189838
group,created_year,2007,risk_scope_proxy_raw,53,0.0,0.0,0.0,0.0
group,created_year,2008,risk_time_proxy,246,0.388646288209607,0.0,1.0,1.0
group,created_year,2008,risk_effort_proxy_raw,246,1687.0692229067863,455.00963810185186,1365.974998304398,2752.5293157291662
group,created_year,2008,risk_scope_proxy_raw,246,0.0,0.0,0.0,0.0
group,created_year,2009,risk_time_proxy,409,0.28217821782178215,0.0,1.0,1.0
group,created_year,2009,risk_effort_proxy_raw,409,628.0533783452187,183.1688621527778,392.22599452546297,1775.058537643518
group,created_year,2009,risk_scope_proxy_raw,409,0.0,0.0,0.0,0.0
group,created_year,2010,risk_time_proxy,1857,0.15243243243243243,0.0,0.0,1.0
group,created_year,2010,risk_effort_proxy_raw,1857,444.8926247598987,141.05910672453703,343.04379069444445,1168.4628049166677
group,created_year,2010,risk_scope_proxy_raw,1857,0.0,0.0,0.0,0.0
group,created_year,2011,risk_time_proxy,2435,0.21583333333333332,0.0,0.0,1.0
group,created_year,2011,risk_effort_proxy_raw,2435,767.5299343748907,206.84242260416664,589.9306158449074,1456.2992724328703
