model,kpi,value,source_table,status,threshold,scenario,degradation_type,degradation_rate,split_type,strategy,metric,subgroup_feature
random_forest,positive_rate_true,0.2501333333333333,threshold_metrics,red,0.7,,,,,,,
random_forest,positive_rate_true,0.2501333333333333,threshold_metrics,red,0.75,,,,,,,
random_forest,positive_rate_true,0.2501333333333333,threshold_metrics,red,0.8,,,,,,,
random_forest,positive_rate_true,0.2501333333333333,threshold_metrics,red,0.85,,,,,,,
random_forest,positive_rate_true,0.2501333333333333,threshold_metrics,red,0.9,,,,,,,
logistic_regression,positive_rate_predicted,0.9882666666666666,threshold_metrics,green,0.1,,,,,,,
logistic_regression,positive_rate_predicted,0.9642666666666668,threshold_metrics,green,0.15,,,,,,,
logistic_regression,positive_rate_predicted,0.9125333333333332,threshold_metrics,green,0.2,,,,,,,
logistic_regression,positive_rate_predicted,0.8688,threshold_metrics,green,0.25,,,,,,,
logistic_regression,positive_rate_predicted,0.7962666666666667,threshold_metrics,green,0.3,,,,,,,
logistic_regression,positive_rate_predicted,0.712,threshold_metrics,amber,0.35,,,,,,,
logistic_regression,positive_rate_predicted,0.6229333333333333,threshold_metrics,amber,0.4,,,,,,,
logistic_regression,positive_rate_predicted,0.5296,threshold_metrics,amber,0.45,,,,,,,
logistic_regression,positive_rate_predicted,0.4218666666666666,threshold_metrics,red,0.5,,,,,,,
logistic_regression,positive_rate_predicted,0.3317333333333333,threshold_metrics,red,0.55,,,,,,,
logistic_regression,positive_rate_predicted,0.2416,threshold_metrics,red,0.6,,,,,,,
logistic_regression,positive_rate_predicted,0.1754666666666666,threshold_metrics,red,0.65,,,,,,,
logistic_regression,positive_rate_predicted,0.1152,threshold_metrics,red,0.7,,,,,,,
logistic_regression,positive_rate_predicted,0.0677333333333333,threshold_metrics,red,0.75,,,,,,,
logistic_regression,positive_rate_predicted,0.0346666666666666,threshold_metrics,red,0.8,,,,,,,
logistic_regression,positive_rate_predicted,0.0122666666666666,threshold_metrics,red,0.85,,,,,,,
logistic_regression,positive_rate_predicted,0.0026666666666666,threshold_metrics,red,0.9,,,,,,,
random_forest,positive_rate_predicted,0.6698666666666667,threshold_metrics,amber,0.1,,,,,,,
random_forest,positive_rate_predicted,0.5728,threshold_metrics,amber,0.15,,,,,,,
random_forest,positive_rate_predicted,0.4949333333333333,threshold_metrics,red,0.2,,,,,,,
random_forest,positive_rate_predicted,0.4133333333333333,threshold_metrics,red,0.25,,,,,,,
random_forest,positive_rate_predicted,0.3424,threshold_metrics,red,0.3,,,,,,,
